Camera_Location,Street
0091D,Ellenborough Street
0091C,Ellenborough Street
0091E,Ellenborough Street
0200A,Baldwin Drive
0200B,Baldwin Drive
0198B,College Street
0198A,College Street
0073A,Mugga Lane
0292A,Eggleston Crescent
0256A,Bugden Avenue
0076C,Yamba Drive
0076B,Yamba Drive
0134A,Canberra Avenue
0255B,Mouat Street
0255A,Mouat Street
0181A,Majura Avenue
0123E,Drake Brockman Drive
0123C,Drake Brockman Drive
0123B,Drake Brockman Drive
0123A,Drake Brockman Drive
0132A,Canberra Avenue
0132C,Canberra Avenue
0132D,Canberra Avenue
0162D,Carruthers Street
0057D,Northbourne Avenue
0184B,Telopea Park
0250B,Knoke Avenue
0250A,Knoke Avenue
0250C,Knoke Avenue
0018B,Melrose Drive
0014A,Hindmarsh Drive
0031C,Springvale Drive
0031D,Springvale Drive
0059C,Belconnen Way
0059B,Belconnen Way
0059A,Belconnen Way
0032B,Kerrigan Street
0055F,Athllon Drive
0055A,Athllon Drive
0044B,Tillyard Drive
0022C,Northbourne Avenue
0022E,Northbourne Avenue
0022G,Northbourne Avenue
0060A,Phillip Avenue
0060C,Phillip Avenue
0060B,Phillip Avenue
0040B,Maribyrnong Avenue
3037A,Knox Street
3036A,Phillip Avenue
3048A,Blamey Crescent
3027A,Boddington Crescent
3071A,Bindel Street
3074A,Groom Street
3045A,Bugden Avenue
3059A,Heagney Crescent
3039A,Donaldson Street
3015A,La Perouse Street
3043A,Perry Drive
3022A,Launceston Street
3060A,Marconi Crescent
3054A,Woodcock Drive
3051A,Wheeler Crescent
3016A,Mugga Way
3025A,Ellerston Avenue
3014A,Jerrabomberra Avenue
3075A,Kent Street
3061A,Namatjira Drive
3070A,Ross Smith Crescent
3012A,Drumston Street
3058A,Hambidge Crescent
3002A,The Valley Avenue
3017A,Denison Street
3069A,Wirraway Crescent
3034A,Barnard Circuit
3064A,Bennelong Crescent
3053A,Mcbryde Crescent
3077A,Starke Street
3030A,Kelleway Avenue
3038A,Cowper Street
3006A,Brigalow Street
3068A,Erldunda Circuit
3050A,Oodgeroo Avenue
3066A,Chewings Street
3023A,Carruthers Street
3007A,Majura Avenue
3052A,Sternberg Crescent
3055A,Knoke Avenue
0251C,Caswell Drive
0251A,Caswell Drive
0251B,Caswell Drive
0129D,Monaro Highway
0129B,Monaro Highway
0129A,Monaro Highway
0129C,Monaro Highway
0080A,Kings Avenue
0080B,Kings Avenue
0016I,Lady Denman Drive
0016H,Lady Denman Drive
0230C,John Gorton Drive
0230A,John Gorton Drive
0082F,William Hovell Drive
0082C,William Hovell Drive
0082B,William Hovell Drive
0082E,William Hovell Drive
0082D,William Hovell Drive
0314B,Fullagar Crescent
0243F,Majura Parkway
0243B,Majura Parkway
0243H,Majura Parkway
0122G,Gungahlin Drive
0141D,Sturt Avenue
0141A,Sturt Avenue
0083C,Commonwealth Avenue
0083B,Commonwealth Avenue
0089F,Federal Highway
0187A,Pialligo Avenue
0178A,Flemington Road
0024B,Tuggeranong Parkway
0020A,Monaro Highway
0020U,Monaro Highway
3019A,Marr Street
3047A,Chauvel Street
0294A,Jackie Howe Crescent
0313B,Roden Cutler Drive
0236B,The Valley Avenue
0150A,Forsythe Street
0264A,Fremantle Drive
0036B,Badimara Street
0084D,Gundaroo Drive
0283B,MacFarland Crescent
0041B,Learmonth Drive
0204A,Capital Circle
0215A,Beaurepaire Crescent
0119O,Horse Park Drive
0074E,Mugga Lane
0074B,Mugga Lane
0074F,Mugga Lane
0133B,Canberra Avenue
0151C,Narrabundah Lane
0062F,Drakeford Drive
0069A,Erindale Drive
0062D,Drakeford Drive
0062A,Drakeford Drive
0062B,Drakeford Drive
0064B,Hindmarsh Drive
0186F,Athllon Drive
0210A,Lyttleton Crescent
0139C,Captain Cook Crescent
0139E,Captain Cook Crescent
0139F,Captain Cook Crescent
0211E,Lachlan Street
0224A,Nudurr Drive
0304A,Alpen Street
0237C,Railway Street
0214B,Parkwood Road
